98130.580 914726.860     425.920 SOFT 2
98132.070 914719.440     425.920 SOFT 2
98133.630 914711.610     425.510 SOFT 2
98135.190 914703.770     425.010 SOFT 2
98136.670 914695.700     424.520 SOFT 2
98138.060 914687.450     424.190 SOFT 2
98139.530 914678.880     424.030 SOFT 2
98141.010 914670.310     424.030 SOFT 2
98142.560 914661.740     423.940 SOFT 2
98144.200 914653.570     423.780 SOFT 2
98145.930 914645.900     423.290 SOFT 2
98147.740 914638.480     422.550 SOFT 2
98149.560 914631.140     421.970 SOFT 2
98151.370 914623.800     421.560 SOFT 2
98153.430 914616.370     421.230 SOFT 2
98155.570 914608.940     420.980 SOFT 2
98157.880 914601.180     420.900 SOFT 2
98160.260 914593.100     420.900 SOFT 2
98162.470 914584.760     420.900 SOFT 2
98164.690 914576.590     420.900 SOFT 2
98166.580 914568.590     420.650 SOFT 2
98168.310 914561.090     419.750 SOFT 2
98169.880 914554.080     418.930 SOFT 2
98171.370 914547.150     418.270 SOFT 2
98172.940 914540.140     417.770 SOFT 2
98174.590 914533.050     417.530 SOFT 2
98176.490 914526.040     416.950 SOFT 2
98178.550 914518.860     415.800 SOFT 2
98180.780 914511.430     414.730 SOFT 2
98183.340 914504.320     413.830 SOFT 2
98186.230 914497.880     413.090 SOFT 2
98189.710 914492.330     412.430 SOFT 2
